srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,Predicted_tat_in_days
2858437,13,17,800001,233,233,131,1,0,800001,2017-12-09,2017-09-23,2018-02-10,4538,2018-02-14,11
3050523,15,2,110018,308,233,131,1,0,110027,2017-06-12,2017-05-31,2018-04-03,4550,2018-04-05,9
2876140,13,22,400104,233,245,131,2,0,385001,2017-09-18,2017-09-09,2018-02-16,4581,2018-02-20,13
2824732,9,7,500004,233,233,131,1,0,501505,2017-12-27,2017-12-27,2018-01-31,4474,2018-02-02,8
2839241,6,17,800001,233,233,131,3,0,824124,2017-02-20,2017-02-17,2018-02-05,4538,2018-02-08,17
2868409,13,22,400104,233,233,131,1,0,401101,2018-01-29,2018-01-27,2018-02-14,4581,2018-02-26,12
2907041,16,1,400059,233,233,131,1,0,700029,2018-01-13,2017-11-14,2018-02-25,4511,2018-03-01,15
2844455,13,7,500004,233,233,131,2,0,517501,2016-06-15,2016-06-13,2018-02-06,4403,2018-02-14,12
2867312,15,1,400059,233,233,131,1,0,400104,2018-01-18,2018-01-18,2018-02-13,4545,2018-02-18,12
2972765,13,22,400104,0,233,131,4,0,382022,2017-08-18,2017-08-17,2018-03-12,4581,2018-03-16,14
2983511,15,2,110018,233,233,131,1,0,110037,2017-02-08,2017-02-03,2018-03-15,4550,2018-03-29,10
2857281,13,3,560011,233,233,131,1,0,560037,2017-03-22,2017-03-22,2018-02-09,4467,2018-02-13,9
3051964,10,23,400001,233,233,131,1,0,400052,2018-03-27,2018-03-18,2018-04-03,4398,2018-04-07,10
2981162,13,21,110015,233,233,131,1,0,121004,2017-05-05,2017-05-03,2018-03-14,4580,2018-03-21,10
3014945,13,26,560066,201,233,131,4,0,630606,2017-12-28,2017-08-01,2018-03-24,5001,2018-03-27,13
2999197,10,27,110034,233,233,131,1,0,110095,2017-06-19,2017-06-16,2018-03-19,4388,2018-04-01,12
2829017,10,7,500004,233,233,131,1,0,500019,2017-04-25,2017-03-28,2018-02-01,4474,2018-02-08,10
2848996,9,3,560011,233,233,131,1,0,560026,2017-12-15,2017-12-15,2018-02-07,4460,2018-02-12,9
2870108,13,22,400104,233,233,131,2,0,395006,2017-03-14,2017-03-09,2018-02-14,4581,2018-02-16,13
2859591,10,2,110018,233,233,131,1,0,122017,2017-12-22,2017-07-13,2018-02-10,4388,2018-02-15,12
2861847,10,3,560011,233,233,228,1,0,560093,2018-01-19,2017-07-09,2018-02-12,4460,2018-02-20,9
2880678,10,2,110018,233,233,228,1,0,122017,2018-01-12,2017-02-23,2018-02-17,4388,2018-02-21,12
2872297,13,22,400104,233,233,131,3,0,442605,2017-06-08,2017-06-07,2018-02-15,4581,2018-02-18,14
2930663,13,21,110015,233,233,131,3,0,141115,2017-06-28,2017-04-14,2018-03-02,4580,2018-03-06,13
2936017,10,23,400001,233,233,131,1,0,411023,2017-04-13,2017-04-13,2018-03-03,4398,2018-03-09,12
2940545,28,3,560011,233,233,228,1,0,560049,2018-01-16,2017-03-29,2018-03-05,4465,2018-03-07,15
2887249,5,9,411016,233,233,228,2,0,414001,2017-08-22,2017-08-03,2018-02-19,4023,2018-03-07,15
2978501,12,2,110018,308,233,228,1,0,122003,2018-02-25,2017-04-08,2018-03-14,4092,2018-03-15,12
3013507,32,5,380009,201,233,131,4,0,382750,2018-03-07,2018-02-07,2018-03-24,4039,2018-03-31,15
3035976,10,6,160059,233,233,228,2,0,160047,2017-07-01,2017-06-14,2018-03-29,4437,2018-03-31,11
3057218,13,26,560066,233,233,131,2,0,603002,2017-06-19,2017-06-16,2018-04-05,5001,2018-04-07,12
3086262,10,23,400001,233,233,228,1,0,400093,2017-11-24,2017-01-18,2018-04-15,4398,2018-04-16,8
3078906,13,22,400104,233,233,131,1,0,401208,2017-07-13,2017-07-10,2018-04-12,4581,2018-04-19,8
2822707,13,21,110015,233,245,131,1,0,110007,2017-10-23,2017-10-18,2018-01-31,4580,2018-02-09,10
2874119,10,3,560011,233,245,228,2,0,590010,2018-01-13,2017-03-31,2018-02-15,4460,2018-02-21,11
2879096,13,11,641012,201,201,131,4,0,691005,2017-11-30,2017-11-24,2018-02-16,4495,2018-02-20,14
3041893,5,2,110018,233,233,228,3,0,335001,2017-05-04,2016-11-20,2018-03-31,4093,2018-04-04,14
3085048,13,26,560066,233,233,228,1,0,560098,2017-06-09,2016-10-05,2018-04-14,5001,2018-04-16,8
2833586,13,21,110015,201,233,131,0,0,331802,2017-04-06,2017-04-03,2018-02-03,4580,2018-02-21,17
3029632,10,27,110034,233,233,131,2,0,136027,2017-11-07,2017-09-19,2018-03-28,4388,2018-04-07,12
2953931,13,8,700064,233,233,131,1,0,700006,2017-12-14,2017-10-17,2018-03-08,4508,2018-03-10,11
2946014,13,4,600024,233,233,131,1,0,600069,2017-10-25,2017-10-14,2018-03-06,4490,2018-03-08,10
3011371,10,23,400001,308,233,131,1,0,400070,2017-03-29,2017-03-28,2018-03-23,4398,2018-04-11,10
3084072,13,21,110015,233,233,131,1,0,110068,2017-04-17,2017-04-14,2018-04-14,4580,2018-04-17,7
2896365,13,8,700064,233,233,228,1,0,700046,2018-01-15,2017-08-12,2018-02-22,4508,2018-02-23,11
3021704,15,12,302006,233,233,131,2,0,342001,2017-11-23,2017-11-17,2018-03-26,4453,2018-03-29,14
2904158,13,7,500004,233,233,131,1,0,500008,2017-10-06,2017-09-30,2018-02-24,4403,2018-02-27,10
3035437,15,2,110018,233,233,228,2,1,125001,2017-01-27,2017-01-12,2018-03-29,4091,2018-04-07,15
2870227,13,2,110018,233,233,131,1,0,110085,2017-11-26,2017-11-24,2018-02-14,4147,2018-02-21,11
3013338,10,27,110034,308,233,228,1,0,122001,2017-06-04,2017-06-04,2018-03-24,4388,2018-03-27,13
2848947,13,21,110015,233,233,131,2,0,131001,2017-05-13,2017-05-05,2018-02-07,4580,2018-02-12,12
2846763,10,2,110018,233,233,228,1,0,121006,2017-08-25,2017-08-19,2018-02-06,4388,2018-02-14,12
2883269,13,2,110018,233,233,228,1,0,110096,2018-01-02,2017-09-26,2018-02-18,4147,2018-02-23,12
2843740,15,12,302006,233,233,228,2,0,334001,2017-10-16,2017-07-13,2018-02-06,4453,2018-02-19,15
2904312,1,12,302006,233,233,228,1,0,302026,2018-02-08,2017-02-01,2018-02-24,4459,2018-02-26,12
2924654,32,4,600024,233,233,131,1,0,600078,2017-12-17,2017-12-07,2018-02-28,4490,2018-03-09,14
2938914,10,2,110018,233,233,228,1,0,201001,2018-02-12,2017-08-08,2018-03-04,4388,2018-03-11,12
2822482,6,1,400059,233,233,131,1,0,400705,2017-02-18,2017-02-15,2018-01-31,4581,2018-03-06,12
2943376,13,22,400104,233,233,131,1,0,400607,2016-05-19,2016-05-18,2018-03-05,4581,2018-03-09,12
2979916,13,21,110015,233,233,131,3,0,143105,2018-02-01,2018-02-01,2018-03-14,4580,2018-03-19,12
3041172,13,21,110015,308,233,131,1,0,110051,2017-10-02,2017-10-02,2018-03-31,4580,2018-04-04,8
3049892,10,27,110034,233,233,131,1,0,110060,2017-06-16,2017-06-15,2018-04-03,4388,2018-04-05,11
3034718,10,25,560037,233,233,131,1,0,600030,2018-01-17,2017-01-16,2018-03-29,4460,2018-04-01,10
3054515,10,25,560037,233,233,131,1,0,600092,2017-05-04,2017-05-02,2018-04-04,4460,2018-04-09,9
3011372,15,9,411016,233,233,228,1,0,411028,2017-06-11,2015-08-14,2018-03-23,4548,2018-03-31,11
2931879,32,5,380009,233,245,131,2,0,360001,2017-12-08,2017-04-08,2018-03-03,4039,2018-03-24,15
3061051,10,25,560037,308,245,131,1,0,560048,2017-04-21,2017-04-21,2018-04-06,4460,2018-04-11,9
2838851,13,21,110015,233,233,131,1,0,110063,2017-08-14,2017-08-09,2018-02-04,4580,2018-02-06,9
2883744,13,21,110015,233,233,131,3,0,143505,2018-01-10,2017-05-03,2018-02-18,4580,2018-02-21,12
3003851,13,2,110018,308,245,228,1,0,110017,2018-02-28,2017-09-07,2018-03-21,4580,2018-03-23,9
2865482,10,8,700064,233,233,131,1,0,700156,2018-02-09,2018-02-07,2018-02-13,4499,2018-02-16,11
2949800,13,7,500004,233,233,131,1,0,500079,2017-05-19,2017-05-17,2018-03-07,4403,2018-03-17,10
2909787,12,2,110018,233,233,228,1,0,110043,2017-08-09,2017-02-22,2018-02-26,4092,2018-02-27,11
2854751,13,21,110015,233,233,131,1,0,110049,2017-07-06,2017-07-05,2018-02-09,4580,2018-02-12,9
2849456,9,3,560011,233,233,131,1,0,560050,2018-01-05,2018-01-05,2018-02-07,4460,2018-02-16,9
2932154,9,23,400001,233,233,131,1,0,380022,2018-01-11,2018-01-11,2018-03-03,4398,2018-03-07,12
2932154,9,23,400001,233,0,131,1,0,380022,2018-01-11,2018-01-11,2018-03-03,4398,2018-03-07,12
2985584,9,23,400001,201,233,131,0,0,453111,2018-02-26,2018-02-26,2018-03-15,4398,2018-03-24,16
2854160,13,21,110015,233,233,131,1,0,110084,2017-12-02,2017-11-28,2018-02-09,4580,2018-02-12,9
2987955,15,12,302006,233,233,131,2,0,342001,2017-10-13,2016-06-16,2018-03-16,4453,2018-03-20,14
3007421,10,23,400001,233,233,131,1,0,411038,2017-05-02,2017-05-02,2018-03-22,4398,2018-03-24,11
3053312,9,6,160059,233,233,131,3,0,143001,2017-10-11,2017-10-10,2018-04-04,4437,2018-04-15,9
2934361,10,12,302006,233,233,228,2,0,313001,2018-01-29,2017-11-29,2018-03-03,4407,2018-03-05,14
2979407,13,22,400104,233,233,131,2,0,361140,2017-10-09,2017-10-06,2018-03-14,4581,2018-03-29,13
3001378,15,4,600024,233,233,228,1,0,600019,2018-02-28,2018-02-13,2018-03-20,4483,2018-03-29,11
3025387,10,6,160059,233,233,228,3,0,141001,2018-01-04,2017-07-20,2018-03-27,4437,2018-03-31,11
2856532,6,1,400059,233,233,131,2,0,452001,2017-02-12,2017-02-09,2018-02-09,4581,2018-02-13,14
3030131,13,7,500004,233,233,228,1,0,500072,2018-03-04,2017-07-08,2018-03-28,4403,2018-03-30,8
2821171,15,2,110018,233,233,228,1,0,122015,2017-12-18,2017-10-18,2018-01-30,4094,2018-02-01,12
2849313,13,3,560011,233,233,228,1,0,560076,2018-01-09,2017-12-13,2018-02-07,4467,2018-02-12,9
2838919,9,8,700064,201,233,131,4,0,711113,2018-01-27,2018-01-27,2018-02-04,4499,2018-02-11,14
2839783,13,21,110015,233,233,131,3,0,152123,2017-08-30,2017-08-10,2018-02-05,4580,2018-02-12,12
2839783,13,21,110015,233,233,131,3,0,152123,2017-08-30,2017-08-10,2018-02-05,4580,2018-02-12,12
2855601,13,17,800001,233,233,131,3,0,834001,2017-10-11,2017-10-06,2018-02-09,4538,2018-02-14,14
2868202,13,3,560011,233,233,131,2,0,580032,2018-01-12,2018-01-11,2018-02-14,4467,2018-02-19,12
2835214,15,12,302006,233,233,131,1,0,302013,2017-08-10,2017-06-25,2018-02-03,4407,2018-02-16,12
2892610,15,2,110018,233,233,131,1,0,122016,2017-09-12,2016-11-28,2018-02-21,4091,2018-02-24,14
2906296,13,4,600024,233,233,131,1,0,600096,2017-05-06,2017-05-05,2018-02-25,4490,2018-03-03,10
2884859,13,21,110015,201,233,131,0,0,335524,2018-01-10,2017-09-22,2018-02-19,4668,2018-03-07,18
3003578,15,2,110018,308,233,228,1,0,110046,2018-03-01,2017-03-25,2018-03-21,4091,2018-03-27,12
3036158,13,21,110015,233,233,131,1,0,201301,2017-06-16,2017-06-14,2018-03-29,4580,2018-04-01,9
3007060,10,23,400001,233,233,131,1,0,400058,2017-05-04,2017-05-04,2018-03-22,4398,2018-04-02,10
2995265,15,3,560011,233,233,228,1,0,560004,2018-03-11,2018-03-11,2018-03-19,4469,2018-03-28,10
3048957,10,27,110034,233,233,228,1,0,201009,2017-12-16,2017-07-11,2018-04-03,4388,2018-04-05,12
3064024,10,6,160059,233,233,131,2,0,160036,2017-12-16,2017-12-16,2018-04-07,4437,2018-04-10,10
3038673,15,1,400059,233,233,131,1,0,400710,2017-11-27,2017-11-17,2018-03-30,4010,2018-04-11,12
3054305,13,22,400104,233,233,131,1,0,400080,2017-04-13,2017-04-12,2018-04-04,4581,2018-04-09,9
3056252,10,27,110034,233,233,228,1,0,110029,2017-05-09,2017-04-11,2018-04-05,4388,2018-04-17,9
2876909,15,2,110018,233,245,131,1,0,110096,2017-09-06,2017-06-20,2018-02-16,4094,2018-02-20,13
2862113,13,26,560066,233,245,131,1,0,560040,2016-07-28,2016-07-27,2018-02-12,5001,2018-03-16,12
2876160,15,2,110018,233,233,228,1,0,121007,2017-12-27,2017-09-04,2018-02-16,4388,2018-02-21,13
3006324,10,6,160059,233,233,131,1,0,160071,2018-01-02,2018-01-02,2018-03-22,4437,2018-03-24,9
2835363,13,7,500004,233,233,131,1,0,500089,2017-02-24,2017-02-22,2018-02-03,4403,2018-02-14,9
3037453,13,22,400104,233,233,131,3,0,415409,2017-08-24,2017-08-22,2018-03-30,4581,2018-04-03,12
2987148,1,3,560011,233,245,131,1,0,560032,2017-10-04,2017-10-04,2018-03-16,4400,2018-03-17,10
2910212,13,21,110015,233,233,131,2,0,125050,2017-08-09,2017-02-03,2018-02-26,4580,2018-03-03,13
3050106,13,22,400104,233,233,131,2,0,440008,2017-06-30,2016-12-02,2018-04-03,4581,2018-04-13,12
2855771,15,7,500004,233,233,131,1,0,500035,2017-10-18,2017-10-17,2018-02-09,4477,2018-02-22,11
3003544,13,21,110015,233,233,131,1,0,302020,2017-10-17,2017-10-11,2018-03-21,4580,2018-03-26,10
2861488,2,1,400059,233,233,131,1,0,110081,2017-10-24,2017-10-18,2018-02-11,4390,2018-03-05,18
3065821,13,21,110015,233,233,131,1,0,122001,2017-09-19,2017-09-12,2018-04-08,4580,2018-04-15,8
2835502,13,21,110015,233,233,131,1,0,110041,2017-09-05,2017-05-30,2018-02-03,4580,2018-02-08,9
2869153,13,22,400104,233,233,131,2,0,395017,2017-04-13,2017-03-02,2018-02-14,4581,2018-02-19,13
2886326,10,3,560011,233,233,131,1,0,560076,2017-12-29,2017-12-29,2018-02-19,4460,2018-02-21,9
2882267,18,1,400059,233,233,131,1,0,560106,2018-01-11,2017-06-02,2018-02-17,4011,2018-02-21,19
2883958,10,9,411016,233,233,131,1,0,411011,2017-09-04,2017-08-30,2018-02-18,4021,2018-02-21,12
2852611,10,1,400059,233,233,131,1,0,400602,2017-06-28,2017-06-28,2018-02-08,4398,2018-02-26,12
2836058,17,1,400059,233,233,131,1,0,400710,2017-09-25,2017-09-17,2018-02-03,4011,2018-02-19,17
2870588,12,1,400059,233,233,131,2,0,422101,2017-05-26,2017-05-26,2018-02-14,4018,2018-02-24,18
2943441,13,17,800001,233,233,131,1,0,800004,2017-06-15,2017-06-13,2018-03-05,4538,2018-03-09,12
2949640,15,4,600024,233,233,131,2,0,636005,2017-03-20,2017-03-18,2018-03-07,4492,2018-03-10,13
2951215,13,21,110015,233,233,228,2,0,282003,2018-01-22,2017-12-10,2018-03-07,4580,2018-03-17,13
3004630,13,21,110015,308,233,131,1,0,110035,2017-08-18,2017-08-17,2018-03-21,4580,2018-03-28,9
2973024,13,7,500004,233,233,131,2,0,533003,2017-03-27,2017-03-24,2018-03-12,4403,2018-03-26,12
3011239,13,21,110015,233,233,228,1,0,122015,2017-07-06,2017-07-06,2018-03-23,4580,2018-03-30,9
3000598,13,21,110015,233,233,228,1,0,201010,2018-03-03,2016-10-06,2018-03-20,4154,2018-03-24,12
3030507,13,17,800001,201,233,131,4,0,803215,2017-05-16,2017-05-13,2018-03-28,4538,2018-03-31,13
3009461,10,27,110034,233,233,228,1,0,302016,2017-06-02,2017-05-29,2018-03-23,4388,2018-04-01,13
3057192,10,27,110034,233,233,131,1,0,110092,2018-01-15,2017-04-30,2018-04-05,4388,2018-04-11,11
3074344,10,25,560037,233,245,228,1,0,560091,2018-04-03,2018-03-31,2018-04-11,4460,2018-04-16,8
3017312,10,6,160059,233,233,131,2,0,148001,2017-03-28,2017-03-23,2018-03-25,4437,2018-03-30,11
2860280,10,2,110018,233,233,228,1,0,121001,2017-08-06,2017-05-20,2018-02-10,4388,2018-02-17,12
2832836,10,4,600024,0,233,131,1,0,600116,2017-05-14,2017-05-14,2018-02-02,4482,2018-02-04,8
2887534,10,6,160059,233,233,131,2,0,160025,2018-01-31,2018-01-21,2018-02-19,4437,2018-02-28,13
2979628,19,1,400059,233,233,131,1,0,110015,2018-02-23,2017-11-15,2018-03-14,4011,2018-03-18,20
2879480,13,3,560011,233,233,131,1,0,560029,2016-11-22,2016-11-01,2018-02-17,4147,2018-02-20,11
2948011,10,12,302006,233,233,228,1,0,302004,2017-09-17,2017-07-29,2018-03-06,4407,2018-03-17,11
2851199,13,3,560011,233,233,131,1,0,560037,2017-03-30,2017-03-30,2018-02-08,4467,2018-02-10,9
2985709,12,2,110018,233,233,228,2,0,209801,2017-06-16,2017-06-16,2018-03-15,4092,2018-03-18,14
2823550,13,8,700064,233,233,131,2,0,713148,2017-12-27,2016-10-21,2018-01-31,4508,2018-02-04,12
2839869,13,7,500004,233,233,131,1,0,500056,2017-03-22,2017-03-21,2018-02-05,4403,2018-02-10,9
2845484,13,21,110015,233,233,228,1,0,201305,2018-01-15,2017-03-15,2018-02-06,4580,2018-02-07,11
2908320,4,2,110018,233,233,228,1,0,110007,2017-08-06,2016-07-04,2018-02-26,4148,2018-02-28,12
2873112,21,2,110018,201,233,228,4,0,388360,2017-08-01,2017-03-31,2018-02-15,4154,2018-02-19,20
2904883,15,2,110018,233,233,131,1,0,201304,2017-10-03,2017-09-29,2018-02-24,4094,2018-02-27,14
2945258,10,2,110018,233,233,131,1,0,110053,2017-09-08,2017-09-01,2018-03-06,4388,2018-03-13,12
2967014,10,2,110018,233,233,228,1,0,110009,2018-02-16,2018-02-06,2018-03-10,4388,2018-03-12,13
2950522,13,22,400104,233,233,131,1,0,380052,2017-09-12,2017-09-11,2018-03-07,4581,2018-03-09,12
3000380,13,21,110015,233,233,131,3,0,144411,2017-05-20,2017-05-15,2018-03-20,4580,2018-03-22,12
2962723,10,2,110018,233,233,131,1,0,110092,2017-04-28,2017-04-24,2018-03-10,4388,2018-03-22,12
2962723,10,2,110018,0,233,131,1,0,110092,2017-04-28,2017-04-24,2018-03-10,4388,2018-03-22,13
2981246,13,21,110015,233,233,131,1,0,302029,2017-12-15,2017-12-13,2018-03-14,4580,2018-03-23,11
2995195,13,26,560066,233,233,131,1,0,641025,2016-05-28,2016-05-01,2018-03-19,4495,2018-03-23,10
2973748,15,11,641012,201,0,131,1,0,641025,2017-04-13,2017-04-12,2018-03-13,4492,2018-03-22,13
3000612,15,3,560011,233,233,131,2,0,590011,2018-02-27,2018-01-22,2018-03-20,4461,2018-03-23,12
2995876,13,17,800001,201,233,131,4,0,815351,2017-10-07,2017-10-05,2018-03-19,4410,2018-04-04,14
3081263,13,22,400104,233,233,131,1,0,400607,2017-07-22,2018-04-23,2018-04-13,4581,2018-04-18,8
3072387,10,25,560037,308,233,228,1,0,560022,2018-02-18,2017-12-15,2018-04-10,4460,2018-04-18,8
2893036,15,3,560011,233,245,228,1,0,560048,2017-11-15,2017-11-12,2018-02-21,4469,2018-02-24,11
2889463,13,3,560011,233,233,131,1,0,560023,2017-09-27,2017-09-27,2018-02-20,4467,2018-02-23,10
2949420,10,2,110018,233,233,228,1,0,110048,2017-08-17,2018-01-11,2018-03-07,4388,2018-03-14,11
3047285,13,26,560066,233,233,131,3,0,635001,2017-12-22,2017-12-14,2018-04-02,5001,2018-04-06,12
2851719,13,22,400104,233,233,131,2,0,395003,2017-03-06,2017-03-02,2018-02-08,4581,2018-02-15,13
3050820,15,5,380009,233,233,131,2,0,390001,2017-11-27,2017-11-27,2018-04-03,4546,2018-04-14,11
2831087,15,1,400059,233,233,131,1,0,401101,2017-11-02,2017-11-02,2018-02-02,4545,2018-02-06,12
3025646,13,22,400104,233,233,131,1,0,421204,2017-04-10,2017-04-09,2018-03-27,4581,2018-04-01,10
2970923,13,26,560066,201,201,131,0,0,686693,2017-09-28,2016-09-28,2018-03-12,4495,2018-03-18,17
3011431,13,21,110015,233,233,131,2,0,132103,2018-02-22,2017-12-14,2018-03-23,4580,2018-03-26,11
2930527,21,2,110018,233,245,131,1,0,110083,2018-02-13,2018-02-08,2018-03-02,4432,2018-03-20,14
2973842,12,1,400059,233,245,131,1,0,380023,2017-12-08,2017-12-08,2018-03-13,4018,2018-03-27,16
2906533,13,17,800001,233,233,131,2,0,844101,2017-08-16,2017-08-10,2018-02-25,4538,2018-02-27,16
2926719,13,21,110015,233,233,131,1,0,121004,2017-04-20,2017-04-19,2018-03-01,4580,2018-03-03,11
2853484,33,12,302006,233,233,131,1,0,302039,2017-12-20,2017-12-19,2018-02-08,4392,2018-02-13,16
2856207,23,4,600024,233,233,131,1,0,600007,2017-05-24,2017-05-23,2018-02-09,4488,2018-02-13,14
2858829,13,8,700064,233,233,131,3,0,751007,2017-08-03,2017-07-22,2018-02-10,4508,2018-02-14,14
2945850,10,2,110018,233,233,131,1,0,110058,2017-07-03,2017-07-03,2018-03-06,4388,2018-03-13,12
2969739,15,7,500004,233,233,131,1,0,500039,2017-11-23,2017-11-15,2018-03-11,4477,2018-03-15,11
2957549,15,2,110018,233,233,228,1,0,121002,2018-02-21,2017-09-06,2018-03-08,4550,2018-03-20,11
2995918,13,21,110015,233,233,131,2,0,221004,2017-11-23,2017-10-18,2018-03-19,4580,2018-03-22,12
2987728,10,7,500004,233,233,228,2,0,533006,2018-01-30,2017-09-15,2018-03-16,4474,2018-03-23,11
2993810,5,1,400059,308,233,131,1,0,400601,2017-08-13,2017-08-13,2018-03-18,4015,2018-03-26,13
3047098,15,2,110018,308,233,131,1,0,110018,2017-10-15,2017-10-11,2018-04-02,4091,2018-04-04,11
3025845,10,23,400001,233,233,131,1,0,400604,2017-05-23,2017-05-23,2018-03-27,4398,2018-04-06,10
3027054,9,27,110034,233,233,131,2,0,342007,2017-10-11,2017-10-12,2018-03-27,4388,2018-04-03,14
3045240,10,23,400001,233,233,131,1,0,400078,2017-09-11,2017-09-04,2018-04-02,4398,2018-04-07,10
2975768,13,21,110015,233,233,131,3,0,171001,2017-10-05,2017-09-21,2018-03-13,4580,2018-04-09,12
3003143,13,22,400104,233,245,131,2,0,390011,2017-06-13,2017-05-05,2018-03-21,4581,2018-03-24,12
3060784,15,2,110018,233,245,131,1,0,110059,2017-05-01,2017-05-01,2018-04-06,4091,2018-04-07,10
3019566,13,21,110015,201,201,131,0,0,173025,2017-09-07,2017-09-05,2018-03-26,4441,2018-04-06,14
2993847,15,2,110018,233,233,228,1,0,110052,2018-01-18,2017-11-25,2018-03-18,4550,2018-04-08,9
2885039,1,11,641012,201,201,228,0,0,682307,2018-01-23,2017-10-01,2018-02-19,4498,2018-02-22,17
2835438,15,2,110018,233,233,131,1,0,110016,2017-08-23,2017-07-29,2018-02-03,4091,2018-02-12,12
2907019,2,1,400059,233,233,131,2,0,140406,2017-09-05,2017-09-05,2018-02-25,4390,2018-02-28,18
2900265,15,17,800001,233,233,131,1,0,800001,2018-01-13,2017-12-02,2018-02-23,4409,2018-02-28,14
2934819,13,22,400104,233,233,131,2,0,395009,2017-10-06,2017-09-24,2018-03-03,4581,2018-03-13,14
2992557,13,17,800001,233,233,131,3,0,828116,2017-08-19,2017-08-17,2018-03-17,4538,2018-03-19,14
3056446,10,27,110034,233,233,228,1,0,201310,2017-09-08,2017-06-23,2018-04-05,4388,2018-04-07,11
3038189,10,25,560037,233,233,228,1,0,560011,2018-03-26,2017-07-04,2018-03-30,4460,2018-04-12,9
3004678,13,21,110015,233,233,131,2,0,184101,2017-09-11,2017-09-05,2018-03-21,4580,2018-03-27,12
2818786,10,3,560011,233,233,131,1,0,560037,2017-08-21,2017-08-13,2018-01-30,4460,2018-02-01,8
3036064,28,24,110092,233,233,131,2,0,844101,2017-02-23,2017-02-20,2018-03-29,4150,2018-04-10,18
3059022,13,22,400104,233,233,131,1,0,380005,2017-04-15,2017-04-12,2018-04-05,4581,2018-04-14,9
3066039,15,2,110018,233,233,131,1,0,122001,2016-05-03,2016-04-30,2018-04-08,4094,2018-04-12,10
2830233,13,21,110015,233,233,131,2,0,324001,2017-07-20,2017-04-08,2018-02-01,4580,2018-02-05,14
